Channel,Uploaded Count,Created Count,Published Count,Uploaded Duration (hh:mm:ss),Created Duration (hh:mm:ss),Published Duration (hh:mm:ss)
A,1470,4725,71,227:24:21,410:36:38,3:02:30
B,1293,4251,19,297:15:05,472:02:39,0:24:19
C,765,2631,14,158:25:12,235:03:49,0:27:44
D,221,701,0,23:31:11,42:08:02,0:00:00
E,201,807,5,25:34:42,59:03:55,0:16:07
F,130,320,0,17:35:35,25:23:17,0:00:00
G,106,351,1,17:42:41,33:33:50,0:03:01
H,89,329,1,10:17:01,20:33:19,0:08:56
I,59,262,0,10:56:20,22:41:30,0:00:00
J,37,145,0,5:39:49,11:11:49,0:00:00
K,29,83,0,2:42:05,4:30:33,0:00:00
L,17,216,0,8:05:43,13:59:58,0:00:00
M,8,14,0,0:35:20,0:57:33,0:00:00
N,8,21,0,0:27:48,0:41:05,0:00:00
O,7,18,0,0:17:58,0:39:48,0:00:00
P,5,14,0,0:35:56,0:50:05,0:00:00
Q,5,19,0,0:22:05,0:55:32,0:00:00
R,3,7,0,0:11:14,0:16:33,0:00:00
