Headline,Source,Published,Team Name,Type,Uploaded By,Video ID,Published Platform,Published URL
Headline_3a11c61b3c1b,https://obfuscated.source.example/a4f0f8276af76065,No,Unknown,news bulletin,Neha,4168417,,
Headline_415212ea682f,https://obfuscated.source.example/d2945450bf84af0f,No,Unknown,news bulletin,Neha,154352428,,
Headline_2d82a32f7307,https://obfuscated.source.example/b0d41c47d3147049,No,Unknown,news bulletin,Neha,523805444,,
Headline_3914d7909c17,https://obfuscated.source.example/c28e8dfd48fb1dc0,No,Unknown,news bulletin,Neha,361444089,,
Headline_9b2333056efb,https://obfuscated.source.example/f4c0cf3215166ece,No,Unknown,news bulletin,Neha,526927388,,
Headline_ed0d821f501c,https://obfuscated.source.example/3bcd657371cf2f15,No,Unknown,news bulletin,Neha,175173924,,
Headline_d8c5377c519e,https://obfuscated.source.example/7a7e78d1cbe391c4,No,Unknown,news bulletin,Neha,834704520,,
Headline_5b2874e0d159,https://obfuscated.source.example/64384016142d8394,No,Unknown,news bulletin,Neha,696972972,,
Headline_f6e2b9ddeed2,https://obfuscated.source.example/a7c1c6de909b552b,No,Unknown,news bulletin,Neha,749129295,,
Headline_50f17eb8a676,https://obfuscated.source.example/58d9e12aab647181,No,Unknown,news bulletin,Neha,52270453,,
Headline_1eb6d1e35bca,https://obfuscated.source.example/bba498d7638006ab,No,Unknown,news bulletin,Neha,574762924,,
Headline_81903b79bf38,https://obfuscated.source.example/176414d0a8be044c,No,Unknown,news bulletin,Neha,811162308,,
Headline_827f93f80dbf,https://obfuscated.source.example/c72589a967dfb7a6,No,Unknown,news bulletin,Neha,737101869,,
Headline_579d05265e78,https://obfuscated.source.example/8f0d34574e92caaf,No,Unknown,news bulletin,Neha,949629997,,
Headline_b8c28a96d232,https://obfuscated.source.example/5c0ab076bd0b4f0b,No,Unknown,news bulletin,Neha,13600851,,
Headline_731871317761,https://obfuscated.source.example/0fd7b2a8143f1fa3,No,Unknown,news bulletin,Neha,386514305,,
Headline_7c5a491e6547,https://obfuscated.source.example/c33f5021329a54be,No,Unknown,news bulletin,Neha,183350569,,
Headline_1bc8102a139b,https://obfuscated.source.example/cae3e4cdfacf7d35,No,Unknown,news bulletin,Adarsh (Frammer),523037691,,
Headline_c61aec7555c3,https://obfuscated.source.example/c334dcf36dedade3,No,Unknown,news bulletin,Adarsh (Frammer),764632051,,
Headline_5f8716e5833a,https://obfuscated.source.example/f820b3d5b3c6044b,No,Unknown,news bulletin,Adarsh (Frammer),970639701,,
Headline_50c78c3bdeae,https://obfuscated.source.example/2cb28865070e6c75,Yes,Unknown,news bulletin,Adarsh (Frammer),841217136,YouTube,https://obfuscated.published.example/ced5e4b15b793655
Headline_4cde38256635,https://obfuscated.source.example/8d1b2bb77b5ccc02,No,Unknown,news bulletin,Adarsh (Frammer),600257526,,
Headline_87742385b497,https://obfuscated.source.example/563bba03ec4a4080,No,Unknown,news bulletin,Adarsh (Frammer),194749096,,
Headline_d38ccb001fbe,https://obfuscated.source.example/aacae8e5b5893d23,No,Unknown,news bulletin,Adarsh (Frammer),144043912,,
Headline_29a0dcd8fbd6,https://obfuscated.source.example/c60e09bd0a49c8e1,No,Unknown,news bulletin,Adarsh (Frammer),83338002,,
Headline_0f1b419fbd5f,https://obfuscated.source.example/a53a1b2dfc38a4a7,No,Unknown,news bulletin,Adarsh (Frammer),365144133,,
Headline_912d6f601f01,https://obfuscated.source.example/8218635b2b50a97a,Yes,Unknown,news bulletin,Adarsh (Frammer),557914091,YouTube,https://obfuscated.published.example/6e3bf97dcf11cf68
Headline_78e3a63e8083,https://obfuscated.source.example/451e2924abb15b9d,No,Unknown,news bulletin,Adarsh (Frammer),309151151,,
Headline_af66545fccc3,https://obfuscated.source.example/68b3dcdcf6873c4a,No,Unknown,news bulletin,Adarsh (Frammer),370309852,,
Headline_0673532da4ef,https://obfuscated.source.example/71cce3963404fd77,No,Unknown,news bulletin,Adarsh (Frammer),69930982,,
Headline_b878101c4bf9,https://obfuscated.source.example/837e47f5c8051d5d,No,Unknown,news bulletin,Adarsh (Frammer),920987137,,
Headline_e7c551dec9e4,https://obfuscated.source.example/59237a0e0e804638,No,Unknown,news bulletin,Adarsh (Frammer),662978781,,
Headline_6e92e7e55274,https://obfuscated.source.example/9c14ba04dbd750d2,No,Unknown,news bulletin,Adarsh (Frammer),459974219,,
Headline_c955b655a860,https://obfuscated.source.example/ac07a1f955866797,No,Unknown,news bulletin,Adarsh (Frammer),593662981,,
Headline_d3a9b89fb39d,https://obfuscated.source.example/77038635559c6edc,No,Unknown,news bulletin,Adarsh (Frammer),799103608,,
Headline_ef2bcba24bc6,https://obfuscated.source.example/0d92d86fffad1fc3,No,Unknown,news bulletin,Chandan,411414243,,
Headline_80cd5359eaa4,https://obfuscated.source.example/69de75853b89bd87,No,Unknown,news bulletin,Adarsh (Frammer),680944002,,
,https://obfuscated.source.example/f56b63f98d36f1af,No,Unknown,interview,Neha,552113107,,
Headline_c716d52ab6ac,https://obfuscated.source.example/295d1d693a6b3328,No,Unknown,interview,Neha,758235806,,
Headline_aa5c964c652d,https://obfuscated.source.example/14394632c1e25389,No,Unknown,interview,Neha,93428056,,
Headline_d11fd04f81a7,https://obfuscated.source.example/e2df793e0f4dbcdd,No,Unknown,interview,Neha,707152232,,
Headline_1b645219ab22,https://obfuscated.source.example/555808ecade10b29,No,Unknown,interview,Neha,734304989,,
Headline_4ae7f9cb2587,https://obfuscated.source.example/99e26a45960f5fd5,No,Unknown,interview,Neha,121358202,,
Headline_111223b9d531,https://obfuscated.source.example/3ddba8358bfb2961,No,Unknown,interview,Neha,941635640,,
Headline_a0e752350116,https://obfuscated.source.example/1ae76a11ad7d05a8,No,Unknown,interview,Neha,734272151,,
Headline_06411d7861cf,https://obfuscated.source.example/4e210bb431750caf,No,Unknown,interview,Neha,16618295,,
Headline_8acf619fb5a0,https://obfuscated.source.example/00727d969beee4f8,No,Unknown,interview,Neha,168794988,,
Headline_9a11d888ecfd,https://obfuscated.source.example/22d4a1fa1bd1df88,No,Unknown,interview,Neha,425273547,,
Headline_2f0a7e4e0732,https://obfuscated.source.example/340fd3bd7deae0bd,No,Unknown,interview,Neha,639254826,,
Headline_2753df3e86f5,https://obfuscated.source.example/607148f2c2d8750d,No,Unknown,interview,Chandan,568624871,,
Headline_cef0823679aa,https://obfuscated.source.example/3f5ca545b255f96f,No,Unknown,interview,Neha,956822666,,
Headline_9391a34ab048,https://obfuscated.source.example/0888b5263098338d,No,Unknown,interview,Neha,757130375,,
Headline_2993df0ef6ea,https://obfuscated.source.example/34da9f6e815ddbb0,No,Unknown,interview,Neha,674051441,,
Headline_037b3210237b,https://obfuscated.source.example/b3b38ef20835922b,No,Unknown,interview,Neha,91856518,,
Headline_f1c07e57fd98,https://obfuscated.source.example/719c6b6141916328,No,Unknown,interview,Neha,100245729,,
Headline_6914bb648e83,https://obfuscated.source.example/bf28cc1e3f6a05fd,No,Unknown,interview,Neha,127965732,,
Headline_112cc0e93f1b,https://obfuscated.source.example/7392f8e9934a2100,No,Unknown,interview,Neha,177191461,,
Headline_a78c1f95c23b,https://obfuscated.source.example/a52d7c05af3aebc7,No,Unknown,debate,Trivendra,477376412,,
Headline_bf0aa9a59f85,https://obfuscated.source.example/dd9cdd91a3301bdd,No,Unknown,debate,Trivendra,560965346,,
Headline_35c9f1935b94,https://obfuscated.source.example/8c2d554e90e02cee,No,Unknown,debate,Trivendra,613976989,,
Headline_c306476de76b,https://obfuscated.source.example/1c262c2643e54ec1,No,Unknown,debate,Trivendra,200274517,,
Headline_cd0eb5c8ecf5,https://obfuscated.source.example/8dd6c3b61ae59303,No,Unknown,debate,Trivendra,905264827,,
Headline_b370d4252415,https://obfuscated.source.example/7c9ec8d95ad48471,No,Unknown,debate,Trivendra,139380506,,
Headline_79739717735d,https://obfuscated.source.example/4c0208bd945edfb6,No,Unknown,debate,Trivendra,763363039,,
Headline_c21b0db8b5d8,https://obfuscated.source.example/e38c8158cb3d27a4,No,Unknown,debate,Trivendra,185702459,,
Headline_42b697f0b886,https://obfuscated.source.example/3dcd9eaddc972a8b,No,Unknown,debate,Trivendra,314653766,,
Headline_5b1a7b1fd760,https://obfuscated.source.example/85a91a59a68b4edc,No,Unknown,interview,Chandan,243247307,,
Headline_4656c9e37e2b,https://obfuscated.source.example/b0e0f32981cc49d5,No,Unknown,interview,Chandan,874040645,,
Headline_1d89e700b927,https://obfuscated.source.example/87cb44f7a021bfb5,No,Unknown,interview,Chandan,104771599,,
Headline_494dc676b807,https://obfuscated.source.example/64d08a494b2905b1,No,Unknown,interview,Chandan,125908830,,
Headline_e86122100123,https://obfuscated.source.example/72780ad0fde68fca,No,Unknown,interview,Chandan,378105633,,
Headline_e86122100123,https://obfuscated.source.example/1f7beceb36a6e56d,No,Unknown,interview,Chandan,620698468,,
Headline_dba60b9cbd2e,https://obfuscated.source.example/e87e023521a96be0,No,Unknown,interview,Chandan,420886688,,
Headline_5a6beac58189,https://obfuscated.source.example/6adcc3476e37aed9,No,Unknown,interview,Chandan,897763684,,
Headline_60c15a1a791a,https://obfuscated.source.example/ba32d310148e8f4e,No,Unknown,interview,Chandan,666791597,,
Headline_1bc5eb986fb4,https://obfuscated.source.example/64fbebe62ae6d157,No,Unknown,speech,Shadab,528312214,,
Headline_5bee0d3ce4a5,https://obfuscated.source.example/8f73a80d7aabaeb2,No,Unknown,speech,Shadab,636382357,,
Headline_023b00e1baae,https://obfuscated.source.example/924ce3b9247eb764,No,Unknown,speech,Shadab,734193890,,
Headline_37a5c15d4c07,https://obfuscated.source.example/96787d5c26b67c34,No,Unknown,speech,Shadab,363035931,,
Headline_e54b1ed1ac46,https://obfuscated.source.example/584bb43298c8cebd,No,Unknown,speech,Shadab,235974678,,
